IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
01347E01DD9D0C7C2DC44E636AE2B478EDD51C1436E13BE253CBAA844F6294599517951F1E71A958284A35CF55862E2BFBD88B3B24C3FE7514BCDF32D8E4CF54,1.896,8.54,5.218,2
01350B65B24A6980961AC5486FBF6F1DD0CAFFF3043182D9C22CE1EC258CD4983FB606BC5AFBE2C48A818B717B2DFEDC282ED6A914C7DBE7425C5E02DC6A6712,6.31,12.571,9.3854,5
01359256A266F9536C247AFF96A0BA0E6850240FBC49877E516BF3E19A07793FA5E52938E7ACD0C01ADE1EB46B0874D96DA46BFB76726C85F7D61164AC7C636E,6.996,6.996,6.996,1
01373FFAF6F533248194F96A494E49D4531CAD50B872205B2C67F54E49F3BADE50108088DDAF3778276D69C9AD5DB23FF622D66FAFF2DD58CFD2C2B39794197E,5.613,5.613,5.613,1
013C60B1E39DCC81DFCA3BB1922C436026FFA7B60EFF56403AAA8C283FC5B5844A9F33A9C720F541EE94EFB83480BFAF732FFEB2E5B24E7F7847CFDDB3D247BA,10.91,13.675,12.2925,2
013D2861F10E3216593C5950E888C8C06B4478591343F6FB828BD3A2C039F3AD7C82514235B70DC09E3A63BE5B10E46959BBDD591FD2C834E0DB5A9AE7F5EC3C,7.92,7.92,7.92,1
0142CEA4A8D148A7AD9BDFD239DA83A8809CDE09D366B29FBD1CCB8072A3F8ED38EED57A3B2E6466720B95DBFAB68B21A3B2F1E53CDC448C8305304FF308762F,7.95,9.75,8.85,2
01437B058B9E88BD15EF0FE20C6DC851B80D754F7BC10B8F79A9A3354E98A80D04BD5672010AE6E3BAEE16D241FC48BE5FB6768FF7F1D37ABF2AE39C7A59EE4F,6.106,6.106,6.106,1
0146D996AEC98E38C017D3CD9BA95C4201AE075B2C076089FFD930C15E463E31938C523D054571DF58FDACD2CCB52DA20C006E69AD5867A26E946D979F07A052,6.7,6.7,6.7,1
014A1F3264E6768DB8E48E5CF0821B12A0FCE40C5DBD58C526820928DE3B28004AE8A129C52D742BAB5ACBD8CAACEBF97F10DCC3A021E0B80595051458146813,4.933,4.933,4.933,1
